Full Account Code,Description,Active,MTD Received,MTD Expended,Month End Balance,Month,Fiscal-Year
001-0000,GENERAL FUND,true,2054442.02,958669.77,8220181.05,July,2022
001-0000,GENERAL FUND,true,760288.38,1048180.86,7932288.57,August,2022
001-0000,GENERAL FUND,true,800024.10,944780.01,7787532.66,September,2022
001-0000,GENERAL FUND,true,838329.20,888990.30,7736871.56,October,2022
001-0000,GENERAL FUND,true,525231.91,835499.63,7426603.84,November,2022
001-0000,GENERAL FUND,true,518161.27,893130.38,7051634.73,December,2022
001-0000,GENERAL FUND,true,1395070.67,661857.16,7784848.24,January,2022
001-0000,GENERAL FUND,true,2094644.14,819411.88,9060080.50,February,2022
001-0000,GENERAL FUND,true,1289225.29,982444.11,9366861.68,March,2022
001-0000,GENERAL FUND,true,1201787.85,1025592.38,9543057.15,April,2022
001-0000,GENERAL FUND,true,487762.75,897664.64,9133155.26,May,2022
001-0000,GENERAL FUND,true,481224.07,2024931.87,7589447.46,June,2022
001-0000,GENERAL FUND,true,1995530.48,974336.55,8610641.39,July,2023
001-0000,GENERAL FUND,true,776006.48,1051875.93,8334771.94,August,2023
001-0000,GENERAL FUND,true,854310.89,929589.32,8259493.51,September,2023
001-0000,GENERAL FUND,true,1127263.43,919906.59,8466850.35,October,2023
001-0000,GENERAL FUND,true,571726.87,830400.01,8208177.21,November,2023
001-0000,GENERAL FUND,true,597249.63,1913447.72,6891979.12,December,2023
001-0000,GENERAL FUND,true,967400.40,874481.65,6984897.87,January,2023
001-0000,GENERAL FUND,true,1858519.22,2611536.63,6231880.46,February,2023
001-0000,GENERAL FUND,true,1700305.68,1134104.84,6798081.30,March,2023
001-0000,GENERAL FUND,true,1343464.70,999083.33,7142462.67,April,2023
001-0000,GENERAL FUND,true,620355.57,945881.17,6816937.07,May,2023
001-0000,GENERAL FUND,true,593861.45,2358799.46,5051999.06,June,2023
001-0000,GENERAL FUND,true,1781685.65,1081674.54,5752010.17,July,2024
001-0000,GENERAL FUND,true,1313486.58,1535292.22,5530204.53,August,2024
001-0000,GENERAL FUND,true,855540.05,1242577.51,5143167.07,September,2024
001-0000,GENERAL FUND,true,1232544.51,1227837.55,5147874.03,October,2024
001-0000,GENERAL FUND,true,667375.47,901707.45,4913542.05,November,2024
001-0000,GENERAL FUND,true,652681.93,951712.14,4614511.84,December,2024
001-0000,GENERAL FUND,true,1022709.73,1310521.78,4326699.79,January,2024
001-0000,GENERAL FUND,true,2728284.25,994625.19,6060358.85,February,2024
001-0000,GENERAL FUND,true,1778428.51,1103027.04,6735760.32,March,2024
001-0000,GENERAL FUND,true,1504643.61,1184054.13,7056349.80,April,2024
001-0000,GENERAL FUND,true,646045.66,1103848.45,6598547.01,May,2024
001-0000,GENERAL FUND,true,687923.35,1141308.10,6145162.26,June,2024
001-0000,GENERAL FUND,true,2413728.95,1180279.82,7378611.39,July,2025
001-0000,GENERAL FUND,true,1259751.38,1156989.73,7481373.04,August,2025
001-0000,GENERAL FUND,true,1040544.96,1067001.03,7454916.97,September,2025
001-0000,GENERAL FUND,true,1026573.94,1148335.38,7333155.53,October,2025
001-0000,GENERAL FUND,true,639833.97,1429428.38,6543561.12,November,2025
001-0000,GENERAL FUND,true,657797.28,709248.15,6492110.25,December,2025
001-0000,GENERAL FUND,true,1018704.20,1334964.00,6175850.45,January,2025
001-0000,GENERAL FUND,true,2632625.39,1080977.32,7727498.52,February,2025
001-0000,GENERAL FUND,true,1853831.66,1194487.79,8386842.39,March,2025
001-0000,GENERAL FUND,true,1522582.17,1275660.07,8633764.49,April,2025
001-0000,GENERAL FUND,true,646335.55,1461266.08,7818833.96,May,2025
001-0000,GENERAL FUND,true,686881.09,1339045.81,7166669.24,June,2025
